"feature","coef","hr","hr_lower","hr_upper","se","z","pvalue","significant","hr_formatted"
"BT_std_prev",0.850215887954171,2.34015200802493,2.21841256205671,2.46857212870539,0.0272571479517688,31.1924009606074,1.35079721465855e-213,"Yes","2.34 (2.22-2.47)"
"SaO2_x_AST",0.836264626744514,2.3077306215732,2.18838675925417,2.43358291180744,0.0270918336624223,30.8677750337902,3.23479571339782e-209,"Yes","2.31 (2.19-2.43)"
"CRP",1.19811555941442,3.31386625101794,3.06335791779431,3.58486008632735,0.0401040236488881,29.8751958133666,4.13331014261063e-196,"Yes","3.31 (3.06-3.58)"
"AST",1.13272062965949,3.10409010216647,2.86885072680177,3.35861858281818,0.0402087365867339,28.1710077414671,1.32528398127621e-174,"Yes","3.10 (2.87-3.36)"
"BT_x_AST",1.08620273282639,2.96300137552851,2.74425840708508,3.19918019699507,0.0391284978155038,27.759888405325,1.32379368974013e-169,"Yes","2.96 (2.74-3.20)"
"Albumin",-1.50191312460555,0.222703692421835,0.199873421667274,0.248141719917531,0.0551825917615585,-27.2171544804428,4.069975300651e-163,"Yes","0.22 (0.20-0.25)"
"Sodium",-0.699103827722897,0.49703052924344,0.470232648262464,0.525355582843596,0.0282774911848358,-24.7229792471052,6.05559241736908e-135,"Yes","0.50 (0.47-0.53)"
"SBP",-0.665467183058452,0.514033323941011,0.485603484289311,0.544127599307798,0.0290284086627726,-22.9246870122742,2.63618799293411e-116,"Yes","0.51 (0.49-0.54)"
"SBP_x_Glucose",-0.665467183058452,0.514033323941011,0.485603484289311,0.544127599307798,0.0290284086627726,-22.9246870122742,2.63618799293411e-116,"Yes","0.51 (0.49-0.54)"
"Chloride",-0.616303612931403,0.539936568031764,0.511882901125606,0.569527712015495,0.0272223346469948,-22.6396310574868,1.76514598260848e-113,"Yes","0.54 (0.51-0.57)"
"SBP_std_prev",0.630959749967641,1.87941348098608,1.77913271162518,1.98534657332317,0.0279764005428359,22.5532855451347,1.24677155132803e-112,"Yes","1.88 (1.78-1.99)"
"SBP_mean_prev",-0.332963690968702,0.716796219859593,0.695171559460315,0.739093557285168,0.0156290432481094,-21.304163388823,1.03866402868305e-100,"Yes","0.72 (0.70-0.74)"
"SaO2_mean_prev",0.65642584948094,1.9278894387183,1.80646612358049,2.05747433589001,0.0331904747790097,19.7775371955835,4.64845891181508e-87,"Yes","1.93 (1.81-2.06)"
"SaO2",0.535836299107334,1.70887677695292,1.61798362876378,1.80487601165669,0.0278855095485661,19.2155821350192,2.74142039995482e-82,"Yes","1.71 (1.62-1.80)"
"SaO2_x_Glucose",0.535836299107334,1.70887677695292,1.61798362876378,1.80487601165669,0.0278855095485661,19.2155821350192,2.74142039995482e-82,"Yes","1.71 (1.62-1.80)"
"ALT",0.626889710859586,1.87177973996838,1.75244769450287,1.99923764112684,0.0336103151002199,18.6517058525132,1.22311815289762e-77,"Yes","1.87 (1.75-2.00)"
"Hgb",-0.614769097496742,0.540765745058912,0.506330838644907,0.577542524985727,0.0335693339481903,-18.3134136186781,6.46845887748004e-75,"Yes","0.54 (0.51-0.58)"
